iter	Passed	Remaining
0	62	62415
1	63	31470
2	63	21151
3	64	15995
4	64	12895
5	65	10824
6	65	9352
7	66	8237
8	66	7373
9	67	6682
10	68	6115
11	68	5638
12	68	5233
13	69	4889
14	69	4591
15	70	4329
16	70	4101
17	71	3898
18	72	3718
19	72	3556
20	73	3413
21	73	3276
22	74	3153
23	74	3042
24	75	2941
25	76	2850
26	76	2765
27	77	2684
28	77	2609
29	78	2542
30	79	2478
31	79	2414
32	80	2361
33	81	2311
34	81	2259
35	82	2209
36	83	2162
37	83	2119
38	84	2075
39	84	2035
40	85	2001
41	86	1962
42	86	1927
43	87	1893
44	87	1866
45	88	1835
46	89	1808
47	89	1784
48	90	1756
49	91	1733
50	91	1707
51	92	1683
52	92	1658
53	93	1635
54	93	1613
55	94	1593
56	95	1572
57	95	1551
58	95	1530
59	96	1511
60	97	1496
61	97	1478
62	98	1461
63	98	1444
64	99	1429
65	99	1414
66	100	1399
67	101	1384
68	101	1370
69	101	1354
70	102	1341
71	103	1333
72	103	1320
73	104	1308
74	105	1300
75	106	1290
76	106	1279
77	107	1268
78	107	1258
79	108	1248
80	108	1235
81	109	1225
82	109	1215
83	110	1205
84	111	1196
85	111	1188
86	112	1178
87	112	1169
88	113	1160
89	113	1151
90	114	1143
91	115	1136
92	115	1129
93	116	1121
94	116	1112
95	117	1105
96	118	1100
97	119	1099
98	120	1094
99	120	1087
100	121	1080
101	121	1070
102	122	1063
103	122	1057
104	123	1051
105	124	1046
106	124	1039
107	125	1033
108	125	1027
109	126	1021
110	126	1015
111	127	1009
112	127	1004
113	128	999
114	129	995
115	129	990
116	130	986
117	131	981
118	131	977
119	132	971
120	133	966
121	133	962
122	134	958
123	135	955
124	135	950
125	136	946
126	137	941
127	137	937
128	138	935
129	139	932
130	139	928
131	140	924
132	141	921
133	141	917
134	142	913
135	143	911
136	144	907
137	144	904
138	145	901
139	146	897
140	147	896
141	147	893
142	148	891
143	149	887
144	150	884
145	150	882
146	151	879
147	152	876
148	152	873
149	153	870
150	153	865
151	154	862
152	155	859
153	156	857
154	156	855
155	157	852
156	158	850
157	159	848
158	159	844
159	160	841
160	160	838
161	161	836
162	162	834
163	163	833
164	164	831
165	165	833
166	166	830
167	167	828
168	167	826
169	168	823
170	169	821
171	170	818
172	170	816
173	171	814
174	172	812
175	173	810
176	173	807
177	174	805
178	175	803
179	175	801
180	176	799
181	177	797
182	177	793
183	178	791
184	179	790
185	180	788
186	180	786
187	181	785
188	182	784
189	183	782
190	184	779
191	184	777
192	185	776
193	186	773
194	186	771
195	187	770
196	188	768
197	189	766
198	189	764
199	190	762
200	190	758
201	191	757
202	192	755
203	192	752
204	193	751
205	194	747
206	194	745
207	195	744
208	196	742
209	196	740
210	197	738
211	198	736
212	198	734
213	199	733
214	200	731
215	201	729
216	201	727
217	202	725
218	203	723
219	203	721
220	204	720
221	205	718
222	205	717
223	206	714
224	206	712
225	207	711
226	208	709
227	209	708
228	209	706
229	210	705
230	211	703
231	212	702
232	212	700
233	213	698
234	214	697
235	214	695
236	215	693
237	216	692
238	216	690
239	217	688
240	218	687
241	218	685
242	219	684
243	220	682
244	221	681
245	221	679
246	222	677
247	223	676
248	223	675
249	224	673
250	225	672
251	226	671
252	226	669
253	227	667
254	228	666
255	228	665
256	229	663
257	230	662
258	230	660
259	231	659
260	232	657
261	232	655
262	233	654
263	234	652
264	234	651
265	235	650
266	236	648
267	237	647
268	237	645
269	238	644
270	239	643
271	239	642
272	240	640
273	241	639
274	242	638
275	242	636
276	243	635
277	244	633
278	244	632
279	245	630
280	245	629
281	246	627
282	246	625
283	247	624
284	248	622
285	248	620
286	249	619
287	249	617
288	250	616
289	251	614
290	251	613
291	252	611
292	252	610
293	253	608
294	254	607
295	254	606
296	255	604
297	256	603
298	256	602
299	257	600
300	258	599
301	258	598
302	259	596
303	259	595
304	260	593
305	261	592
306	261	591
307	262	589
308	262	587
309	263	586
310	264	585
311	264	583
312	265	582
313	266	581
314	266	579
315	267	578
316	268	577
317	268	576
318	269	575
319	270	574
320	270	573
321	271	571
322	272	570
323	272	569
324	273	568
325	274	566
326	274	565
327	275	564
328	276	563
329	276	561
330	277	560
331	277	559
332	278	557
333	279	556
334	279	555
335	280	554
336	281	553
337	281	551
338	282	550
339	282	549
340	283	547
341	284	546
342	284	545
343	285	544
344	286	543
345	286	541
346	287	540
347	287	539
348	288	538
349	289	537
350	289	535
351	290	534
352	291	533
353	291	532
354	292	531
355	292	529
356	293	528
357	294	527
358	294	526
359	295	524
360	295	523
361	296	522
362	297	521
363	297	520
364	298	518
365	298	517
366	299	516
367	300	515
368	300	514
369	301	513
370	302	512
371	302	511
372	303	510
373	304	509
374	304	508
375	305	506
376	306	505
377	306	504
378	307	503
379	307	502
380	308	501
381	309	500
382	309	499
383	310	497
384	310	496
385	311	495
386	312	494
387	312	492
388	313	491
389	313	490
390	314	489
391	315	488
392	315	487
393	316	486
394	316	485
395	317	484
396	318	483
397	318	481
398	319	480
399	319	479
400	320	478
401	321	477
402	321	476
403	322	475
404	322	474
405	323	473
406	324	472
407	324	471
408	325	469
409	325	468
410	326	467
411	327	466
412	327	465
413	328	464
414	328	463
415	329	462
416	330	461
417	330	460
418	331	459
419	332	458
420	332	457
421	333	456
422	334	455
423	334	454
424	335	453
425	336	452
426	336	451
427	337	450
428	337	449
429	338	448
430	339	447
431	339	446
432	340	445
433	340	444
434	341	443
435	341	442
436	342	441
437	343	440
438	343	439
439	345	439
440	346	438
441	346	437
442	347	436
443	348	435
444	348	434
445	349	433
446	349	432
447	350	431
448	351	430
449	351	429
450	352	428
451	352	427
452	353	426
453	354	425
454	354	424
455	355	423
456	355	422
457	356	421
458	356	420
459	357	419
460	357	418
461	358	417
462	359	416
463	359	415
464	360	414
465	361	413
466	361	412
467	362	411
468	362	410
469	363	409
470	364	409
471	364	408
472	365	407
473	365	406
474	366	405
475	367	404
476	367	403
477	368	402
478	369	401
479	369	400
480	370	399
481	370	398
482	371	397
483	372	396
484	372	395
485	373	394
486	373	393
487	374	392
488	374	391
489	375	390
490	376	389
491	376	388
492	377	388
493	378	387
494	378	386
495	379	385
496	380	384
497	380	383
498	381	383
499	382	382
500	382	381
501	383	380
502	383	379
503	384	378
504	385	377
505	385	376
506	386	375
507	386	374
508	387	373
509	387	372
510	388	371
511	388	370
512	389	369
513	389	368
514	390	367
515	391	366
